Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-04-13,101.672,102.417,100.156,100.914,3160191,0.0,0.0
2020-04-14,103.133,104.071,102.051,103.492,3968806,0.0,0.0
2020-04-15,102.148,102.396,99.88,100.059,3640504,0.0,0.0
2020-04-16,100.135,100.948,98.729,99.88,4987798,0.0,0.0
2020-04-17,101.631,102.361,99.811,100.955,6450148,0.0,0.0
2020-04-20,99.777,101.341,99.018,99.032,3460028,0.0,0.0
2020-04-21,98.053,98.412,96.847,97.626,2787996,0.0,0.0
2020-04-22,98.818,99.59,97.681,98.991,3288522,0.0,0.0
2020-04-23,99.659,101.727,99.177,99.487,3092019,0.0,0.0
2020-04-24,100.066,101.562,99.473,101.327,2687532,0.0,0.0
2020-04-27,102.017,106.49,101.941,105.911,5555300,0.0,0.0
2020-04-28,110.309,112.411,106.98,108.641,9919744,0.0,0.0
2020-04-29,109.282,110.44,106.959,107.71,4768572,0.0,0.0
2020-04-30,106.366,106.801,104.602,104.719,4386689,0.0,0.0
2020-05-01,102.913,103.423,101.831,102.43,3499974,0.0,0.0
2020-05-04,102.389,102.403,100.68,102.293,2666841,0.0,0.0
2020-05-05,103.32,103.395,101.396,101.624,2713963,0.0,0.0
2020-05-06,101.872,102.134,100.631,100.776,2593646,0.0,0.0
2020-05-07,101.81,101.913,99.88,100.459,3349757,0.0,0.0
2020-05-08,101.383,102.83,100.9,102.368,2594961,0.0,0.0
2020-05-11,101.893,101.989,100.356,100.452,3629382,0.0,0.0
2020-05-12,101.017,101.479,97.502,97.55,3623880,0.0,0.0
2020-05-13,96.992,97.006,93.056,93.828,5747976,0.0,0.0
2020-05-14,93.056,93.849,90.381,93.738,7053649,0.0,0.0
2020-05-15,92.732,95.723,92.504,95.599,12095985,0.0,0.0
2020-05-18,98.681,103.202,98.233,102.892,7196452,0.0,0.0
2020-05-19,102.361,104.533,101.583,102.279,4855640,0.0,0.0
2020-05-20,103.306,104.381,102.589,103.175,4100845,0.0,0.0
2020-05-21,102.848,103.474,101.177,101.504,3335764,1.229,0.0
2020-05-22,101.455,102.082,100.662,101.943,3183034,0.0,0.0
2020-05-26,104.72,106.495,103.864,105.869,5521095,0.0,0.0
2020-05-27,107.199,110.101,106.746,110.094,7243335,0.0,0.0
2020-05-28,110.484,111.292,107.296,109.169,8049917,0.0,0.0
2020-05-29,108.25,109.203,106.544,108.904,10324111,0.0,0.0
2020-06-01,108.563,109.677,107.825,108.305,2491746,0.0,0.0
2020-06-02,109.12,110.408,109.036,109.739,2791225,0.0,0.0
2020-06-03,110.93,112.538,110.352,112.225,4394463,0.0,0.0
2020-06-04,111.215,113.178,110.811,113.157,3445317,0.0,0.0
2020-06-05,114.863,117.195,114.863,116.541,5414531,0.0,0.0
2020-06-08,116.325,118.024,115.051,116.165,3573170,0.0,0.0
2020-06-09,115.197,116.924,114.223,116.046,3781274,0.0,0.0
2020-06-10,116.186,116.492,114.035,114.097,3051355,0.0,0.0
2020-06-11,111.424,111.556,106.029,106.078,5999854,0.0,0.0
2020-06-12,108.793,109.586,105.625,107.811,3586565,0.0,0.0
2020-06-15,105.034,111.118,104.762,109.802,4896185,0.0,0.0
2020-06-16,113.366,113.735,109.217,111.153,4050493,0.0,0.0
2020-06-17,111.522,111.988,110.665,110.839,2050662,0.0,0.0
2020-06-18,110.039,111.264,109.705,110.832,2160096,0.0,0.0
2020-06-19,112.322,112.837,108.925,110.094,7660619,0.0,0.0
2020-06-22,109.294,109.586,108.236,109.078,2416996,0.0,0.0
2020-06-23,109.962,110.456,108.765,109.879,2752953,0.0,0.0
2020-06-24,108.8,109.106,105.611,105.966,3639189,0.0,0.0
2020-06-25,105.848,107.936,104.491,107.672,2464597,0.0,0.0
2020-06-26,107.623,107.748,105.486,106.175,3380374,0.0,0.0
2020-06-29,107.136,108.953,106.843,108.298,2565540,0.0,0.0
2020-06-30,107.839,109.092,107.24,108.591,3518154,0.0,0.0
2020-07-01,108.834,109.851,108.117,108.201,1944218,0.0,0.0
2020-07-02,109.725,110.603,108.918,109.322,2371429,0.0,0.0
2020-07-06,110.596,111.354,109.329,110.06,2511002,0.0,0.0
2020-07-07,108.653,109.364,107.686,107.776,1879753,0.0,0.0
2020-07-08,107.95,108.319,107.115,107.609,1987752,0.0,0.0
2020-07-09,107.15,107.707,105.145,105.43,2619240,0.0,0.0
2020-07-10,105.597,106.683,105.11,106.405,2337582,0.0,0.0
2020-07-13,107.449,109.245,107.317,107.762,2652489,0.0,0.0
2020-07-14,107.762,110.846,107.15,110.366,3825884,0.0,0.0
2020-07-15,111.368,112.343,110.86,110.916,4152871,0.0,0.0
2020-07-16,110.86,112.016,110.018,111.73,2154594,0.0,0.0
2020-07-17,111.981,112.468,111.041,111.264,3051833,0.0,0.0
2020-07-20,110.582,110.596,108.855,108.855,2140960,0.0,0.0
2020-07-21,109.294,111.125,109.287,109.851,3297611,0.0,0.0
2020-07-22,109.593,111.334,109.308,110.484,2271922,0.0,0.0
2020-07-23,110.686,111.139,110.241,110.888,3223340,0.0,0.0
2020-07-24,111.417,112.496,110.491,111.271,3019541,0.0,0.0
2020-07-27,111.055,113.735,110.916,113.638,3825406,0.0,0.0
2020-07-28,108.229,109.628,107.066,108.131,9255605,0.0,0.0
2020-07-29,108.946,109.663,107.846,108.772,3973949,0.0,0.0
2020-07-30,107.421,107.707,105.368,105.897,3723148,0.0,0.0
2020-07-31,105.59,105.639,103.586,104.748,3906614,0.0,0.0
2020-08-03,105.18,105.409,103.941,104.706,2708820,0.0,0.0
2020-08-04,104.351,105.284,104.184,105.263,2314858,0.0,0.0
2020-08-05,105.925,108.18,105.883,108.145,3162702,0.0,0.0
2020-08-06,108.549,108.939,107.679,108.598,3451417,0.0,0.0
2020-08-07,108.591,110.282,107.95,110.22,2612423,0.0,0.0
2020-08-10,110.373,112.496,110.373,112.385,2718269,0.0,0.0
2020-08-11,114.257,116.005,113.499,113.735,4502342,0.0,0.0
2020-08-12,114.863,115.524,113.714,114.348,2486723,0.0,0.0
2020-08-13,115.225,116.596,114.689,115.462,3449264,0.0,0.0
2020-08-14,114.591,115.768,114.529,115.629,1922331,0.0,0.0
2020-08-17,114.981,115.817,113.923,114.661,2473448,0.0,0.0
2020-08-18,114.466,115.169,114.0,114.431,1816844,0.0,0.0
2020-08-19,114.821,115.343,114.014,114.146,2407309,0.0,0.0
2020-08-20,113.485,113.93,113.039,113.45,2380399,0.0,0.0
2020-08-21,113.049,114.286,112.916,113.597,2398698,1.229,0.0
2020-08-24,113.485,115.171,113.204,114.876,3114862,0.0,0.0
2020-08-25,115.81,116.084,114.096,114.574,2318446,0.0,0.0
2020-08-26,114.412,115.747,113.583,115.136,2994066,0.0,0.0
2020-08-27,115.557,116.161,114.63,115.262,2781776,0.0,0.0
2020-08-28,115.656,116.73,115.15,116.372,3643375,0.0,0.0
2020-08-31,116.021,116.435,113.864,114.518,3445796,0.0,0.0
2020-09-01,113.921,116.295,113.548,115.768,3469716,0.0,0.0
